size,method,mean_sum_completion_times,std_sum_completion_times,min_sum_completion_times,max_sum_completion_times,count
small,scheduling_heuristic,26.933333333333334,5.848273151159641,17.0,35.0,30
small,greedy,253.85,100.75765992956941,82.5,457.5,30
small,local_search,417.7,116.94543378327612,198.0,684.0,30
medium,scheduling_heuristic,127.96666666666667,10.433643636823613,107.0,143.0,30
medium,greedy,801.45,285.08169881632176,325.5,1647.0,30
medium,local_search,928.2,356.02425333889437,442.5,1912.5,30
large,scheduling_heuristic,1094.7333333333333,72.12438170814089,964.0,1221.0,30
large,greedy,1814.85,1352.6348052520718,505.5,5854.5,30
large,local_search,5140.95,2083.723107515272,1213.5,10650.0,30
